time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
"2017-04-21T21:12:02.260Z,18.8061,-64.6676,29,2.89,md,5,307,87.087,0.12,pr,pr2017111007,2017-04-22T01:28:01.385Z,""43km N of Road Town, British Virgin Islands"",earthquake,2.9,8.6,0.53,4,reviewed,pr,pr"
"2017-04-21T21:00:57.194Z,63.0206,-151.0266,112,2.9,ml,,,,0.58,ak,ak15796869,2017-04-23T00:46:18.040Z,""90km NNW of Talkeetna, Alaska"",earthquake,,0.5,,,automatic,ak,ak"
"2017-04-21T20:49:03.450Z,-9.5542,112.9806,47.93,4.4,mb,,122,1.58,0.97,us,us10008jn8,2017-04-22T14:49:13.040Z,""130km SSE of Krajan Tambakrejo, Indonesia"",earthquake,7.4,9.2,0.094,34,reviewed,us,us"
"2017-04-21T16:58:20.350Z,0.8115,-85.3057,41.06,5.4,mb,,95,5.194,1.16,us,us10008jlu,2017-04-21T17:16:47.040Z,""Off the coast of Ecuador"",earthquake,5.9,7.8,0.092,40,reviewed,us,us"
"2017-04-21T15:06:49.750Z,-8.6775,118.8075,134.25,4.2,mb,,72,3.391,1.2,us,us10008jjc,2017-04-21T15:28:13.040Z,""2km NNE of Waworada, Indonesia"",earthquake,8.1,7.8,0.108,24,reviewed,us,us"
"2017-04-21T14:39:19.700Z,18.9025,-64.6337,35,2.5,Md,4,309.6,0.58300662,0.07,pr,pr17111006,2017-04-21T15:05:49.044Z,""53km N of Road Town, British Virgin Islands"",earthquake,2.5,6.5,0,4,reviewed,pr,pr"
"2017-04-21T14:16:02.700Z,18.899,-65.2366,48,3,Md,3,320.4,0.58929483,0.2,pr,pr17111004,2017-04-21T14:56:42.685Z,""66km N of Culebra, Puerto Rico"",earthquake,3.8,7.1,0,3,reviewed,pr,pr"
"2017-04-21T14:12:22.390Z,38.6627,27.663,10,4.9,mb,,35,0.722,1.32,us,us10008jiy,2017-04-22T04:46:38.793Z,""11km SE of Saruhanli, Turkey"",earthquake,4.2,1.4,0.087,41,reviewed,us,us"
"2017-04-21T13:09:22.040Z,38.7566,29.072,10,5,mb,,36,0.482,1.13,us,us10008ji3,2017-04-22T04:46:21.775Z,""17km E of Selendi, Turkey"",earthquake,3.1,1.9,0.089,40,reviewed,us,us"
"2017-04-21T12:26:14.671Z,59.8488,-153.8298,154.7,3.1,ml,,,,0.56,ak,ak15796216,2017-04-21T18:14:05.922Z,""62km E of Old Iliamna, Alaska"",earthquake,,0.5,,,reviewed,ak,ak"
"2017-04-21T12:26:00.576Z,60.3216,-151.9325,194,3.1,ml,,,,0.9,ak,ak15796217,2017-04-21T12:32:27.978Z,""34km W of Cohoe, Alaska"",earthquake,,1.2,,,automatic,ak,ak"
"2017-04-21T12:13:15.190Z,-48.2954,-75.8313,10,4.4,mb,,220,2.189,0.65,us,us10008jhz,2017-04-21T13:11:09.040Z,""270km WSW of Cochrane, Chile"",earthquake,9.4,2,0.162,11,reviewed,us,us"
"2017-04-21T10:38:46.523Z,40.781,-115.7844,16.9,2.5,ml,12,131.71,0.415,0.2531,nn,nn00586610,2017-04-24T04:50:44.462Z,""5km SSW of Elko, Nevada"",earthquake,,4.9,0.2,9,reviewed,nn,nn"
"2017-04-21T10:34:59.060Z,-4.7115,153.2998,63.26,5,mb,,52,1.245,0.69,us,us10008jh4,2017-04-21T10:53:19.040Z,""40km SE of Taron, Papua New Guinea"",earthquake,8.5,7,0.054,112,reviewed,us,us"
"2017-04-21T10:16:01.760Z,15.033,-60.5458,50.9,4.3,mb,,149,0.409,0.75,us,us10008jhi,2017-04-21T13:48:39.040Z,""55km ENE of Sainte-Marie, Martinique"",earthquake,6.1,9,0.094,32,reviewed,us,us"
"2017-04-21T06:41:07.780Z,33.5525,-82.1045,8.23,2.52,md,12,78,0.4558,0.17,se,se60036903,2017-04-22T12:56:29.819Z,""3km NE of Evans, Georgia"",earthquake,0.5,2.83,0.039,6,reviewed,se,se"
"2017-04-21T06:38:31.000Z,45.99,-75.61,18,2.8,mb_lg,,,,0.71,us,us10008jqj,2017-04-23T22:09:03.991Z,""38km N of Val-des-Monts, Canada"",earthquake,3,1.6,,,reviewed,ott,ott"
"2017-04-21T06:12:06.100Z,-9.0298,-75.8986,48.87,4.1,mb,,135,3.082,1.26,us,us10008jj2,2017-04-22T05:46:18.040Z,""31km NNE of Tingo Maria, Peru"",earthquake,9.4,12.8,0.213,6,reviewed,us,us"
"2017-04-21T05:25:55.570Z,40.5163333,-124.4028333,16.45,2.64,md,21,237,0.06436,0.12,nc,nc72791626,2017-04-24T04:35:23.129Z,""13km WSW of Ferndale, California"",earthquake,0.6,0.37,0.124,33,reviewed,nc,nc"
"2017-04-21T04:48:42.790Z,-17.2808,-174.0735,130.23,4.4,mb,,65,4.016,0.91,us,us10008jg1,2017-04-21T05:25:59.040Z,""151km N of Neiafu, Tonga"",earthquake,4.7,8.3,0.1,29,reviewed,us,us"
"2017-04-21T04:44:19.446Z,51.9115,-173.1741,43.3,3,ml,,,,0.72,ak,ak15795888,2017-04-21T17:38:39.183Z,""77km ESE of Atka, Alaska"",earthquake,,9.4,,,reviewed,ak,ak"
